City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,tralee,52.2704,-9.7026,15.14,88,75,3.6,IE,1691312098
181,el colomo,19.05,-104.25,26.89,76,100,1.25,MX,1691312098
182,sona,45.4388,10.8255,24.97,60,0,4.63,IT,1691312098
183,udachny,66.4167,112.4,20.25,42,53,7.07,RU,1691312098
184,yesan,36.6776,126.8427,33.83,77,77,2.72,KR,1691312099
185,el calafate,-50.3408,-72.2768,-0.74,76,44,5.95,AR,1691312099
186,antofagasta,-23.65,-70.4,17.6,83,58,1.11,CL,1691311915
187,northam,51.0333,-4.2167,16.45,80,4,6.28,GB,1691312099
188,soio,-6.1349,12.3689,24.82,73,38,2.99,AO,1691312099
189,albu kamal,34.45,40.9186,38.32,19,0,5.97,SY,1691312099
190,kushva,58.2906,59.7592,24.56,57,47,3.66,RU,1691312100
191,hoa binh,20.8133,105.3383,25.75,95,100,1.73,VN,1691312100
192,bibiani,6.4635,-2.3194,23.03,96,100,1.11,GH,1691312100
193,akita,39.7167,140.1167,29.52,74,75,3.6,JP,1691311806
194,goundam,16.4145,-3.6708,31.93,50,88,6.99,ML,1691312060
195,lebu,-37.6167,-73.65,9.88,84,76,2.57,CL,1691312100
196,skelleftea,64.7507,20.9528,20.2,42,18,1.54,SE,1691312101
197,zhezqazghan,47.7833,67.7667,29.32,32,40,2.0,KZ,1691312101
198,westport,41.1415,-73.3579,21.21,77,0,3.09,US,1691312101
199,iwanai,42.9744,140.5089,21.26,94,100,0.9,JP,1691312101
200,zakamensk,50.3741,103.2863,19.17,70,99,1.22,RU,1691312101
201,okhotsk,59.3833,143.3,16.46,69,54,3.35,RU,1691312102
202,arkhangel'sk,64.5401,40.5433,22.82,58,48,3.13,RU,1691312102
203,orsa,54.5153,30.4053,28.09,54,0,7.31,BY,1691312102
204,wichian buri,15.6578,101.106,30.83,63,100,4.42,TH,1691312102
205,labytnangi,66.6572,66.4183,28.34,42,0,2.79,RU,1691312102
206,makokou,0.5738,12.8642,24.19,83,100,2.2,GA,1691312103
207,usinsk,65.9939,57.5281,22.53,68,100,2.54,RU,1691312103
208,seeb,23.6703,58.1891,34.05,66,9,3.09,OM,1691312103
209,saint-philippe,-21.3585,55.7679,22.77,85,59,7.57,RE,1691311537
210,thanh hoa,19.8,105.7667,24.48,90,100,4.78,VN,1691312104
211,chernogorsk,53.8236,91.2842,22.76,46,0,3.0,RU,1691312104
212,sitka,57.0531,-135.33,17.94,82,75,0.0,US,1691311827
213,sinabang,2.4803,96.3801,28.34,77,100,2.49,ID,1691312104
214,huancayo,-12.0667,-75.2333,5.9,79,10,0.69,PE,1691312104
215,nemuro,43.3236,145.575,14.33,97,100,5.69,JP,1691312105
216,luwuk,-0.9516,122.7875,27.12,76,69,3.71,ID,1691312105
217,tazovsky,67.4667,78.7,21.61,47,5,2.22,RU,1691312105
218,codrington,-38.2667,141.9667,10.15,73,99,2.11,AU,1691312105
219,burela de cabo,43.65,-7.4,18.98,71,100,4.73,ES,1691312105
220,port isabel,26.0734,-97.2086,29.02,85,0,4.63,US,1691312106
221,flying fish cove,-10.4217,105.6791,24.82,88,100,5.66,CX,1691312106
222,galle,6.0367,80.217,28.15,77,100,7.01,LK,1691312106
223,mata-utu,-13.2816,-176.1745,27.57,79,28,1.46,WF,1691312106
224,kendari,-3.945,122.4989,25.38,81,79,1.78,ID,1691312107
225,salmon arm,50.6998,-119.3024,20.8,55,65,1.03,CA,1691312107
226,inhambane,-23.865,35.3833,22.99,73,20,3.09,MZ,1691312107
227,saveh,35.0213,50.3566,38.16,13,1,5.53,IR,1691312107
228,untsukul',42.7115,46.7866,29.56,39,0,2.67,RU,1691312107
229,isangel,-19.55,169.2667,21.49,84,100,7.54,VU,1691312108
230,doffing,26.2745,-98.3858,28.9,84,100,5.66,US,1691312108
231,imperatriz,-5.5264,-47.4917,23.03,78,0,0.0,BR,1691312108
232,howard springs,-12.497,131.047,30.95,30,2,1.92,AU,1691312108
233,nagato,34.3833,131.2,29.47,83,50,2.25,JP,1691312108
234,mahibadhoo,3.7833,72.9667,28.34,76,99,6.29,MV,1691312109
235,meulaboh,4.1363,96.1285,28.57,75,92,3.21,ID,1691312109
236,dryden,49.7833,-92.7503,18.16,94,100,2.06,CA,1691312109
237,palikir - national government center,6.9248,158.1611,24.41,100,100,1.03,FM,1691312109
238,san felipe,10.3399,-68.7425,22.45,93,18,1.6,VE,1691312109
239,constantia,44.1833,28.65,28.38,71,0,3.96,RO,1691312110
240,caconda,-13.7333,15.0667,20.82,22,0,5.79,AO,1691312110
241,balpyk bi,44.8947,78.2083,36.75,12,100,6.53,KZ,1691312110
242,champion heights,41.29,-80.8459,19.67,85,100,2.68,US,1691312110
243,pamandzi,-12.7967,45.2794,27.88,69,20,6.17,YT,1691312111
244,litayan,7.3358,124.0347,28.48,75,5,4.63,PH,1691312111
245,mashhad,36.297,59.6062,33.08,35,4,3.09,IR,1691312111
246,new norfolk,-42.7826,147.0587,10.4,95,99,1.15,AU,1691312111
247,luza,60.6308,47.2512,24.74,47,38,3.94,RU,1691312111
248,saucillo,28.0167,-105.2833,28.61,28,90,3.9,MX,1691312112
249,sisimiut,66.9395,-53.6735,8.28,74,11,1.02,GL,1691312112
250,kapuskasing,49.4169,-82.4331,12.05,87,0,2.06,CA,1691311922
251,kollam,8.8833,76.6,28.13,73,98,6.38,IN,1691311571
252,bichura,50.5881,107.6022,19.48,85,100,1.61,RU,1691312112
253,portland,45.5234,-122.6762,21.45,79,75,0.89,US,1691312069
254,nizhneudinsk,54.9076,99.0276,22.45,50,78,1.45,RU,1691312113
255,siwa oasis,29.2041,25.5195,39.56,14,0,2.05,EG,1691312113
256,egilsstadir,65.2653,-14.3948,9.95,76,75,3.6,IS,1691312113
257,volodarskiy,46.4013,48.5409,37.97,15,0,4.57,RU,1691312113
258,port lincoln,-34.7333,135.8667,10.89,72,89,2.86,AU,1691312113
259,dudinka,69.4058,86.1778,24.79,34,23,1.29,RU,1691312114
260,coruripe,-10.1256,-36.1756,22.76,84,54,3.77,BR,1691312114
261,santana,-0.0583,-51.1817,28.1,89,40,4.63,BR,1691312114
262,nouadhibou,20.931,-17.0347,20.99,83,66,7.72,MR,1691312114
263,qamdo,31.1667,97.2333,11.7,57,90,3.82,CN,1691312115
264,keflavik,64.0049,-22.5624,11.24,87,75,4.12,IS,1691312115
265,okahandja,-21.9833,16.9167,21.46,21,2,7.22,NA,1691312115
266,quepos,9.4236,-84.1652,25.98,79,99,1.41,CR,1691312115
267,ancud,-41.8697,-73.8203,4.62,89,56,1.74,CL,1691312115
268,formosa,-26.1775,-58.1781,21.09,71,0,3.6,AR,1691312115
269,auki,-8.7676,160.7034,24.61,90,100,3.53,SB,1691312116
270,eyl,7.9803,49.8164,33.06,41,88,13.12,SO,1691312116
271,roma,43.2128,-75.4557,12.71,97,0,0.0,US,1691312053
272,rio grande,-32.035,-52.0986,14.97,96,100,6.05,BR,1691312116
273,bratsk,56.1325,101.6142,19.27,52,63,1.37,RU,1691312116
274,aral,40.5156,81.2636,37.4,15,90,2.4,CN,1691312116
275,erenhot,43.6475,111.9767,33.42,21,0,4.89,CN,1691312117
276,palmer,42.1584,-72.3287,16.65,85,0,1.54,US,1691312117
277,ulladulla,-35.35,150.4667,10.94,75,22,0.75,AU,1691312117
278,saldanha,-33.0117,17.9442,14.03,75,61,2.59,ZA,1691312117
279,newman,37.3138,-121.0208,24.99,80,0,2.08,US,1691312117
280,riosucio,5.4216,-75.7032,14.45,95,80,0.27,CO,1691312118
281,solnechnyy,50.7214,136.6319,21.56,47,1,2.29,RU,1691312118
282,lulindi,-10.8167,39.1333,28.86,38,31,4.01,TZ,1691312118
283,toulepleu guere,6.574,-8.4259,22.85,95,100,1.51,CI,1691312118
284,yeppoon,-23.1333,150.7333,18.88,75,2,5.85,AU,1691312118
285,great falls,47.5002,-111.3008,17.05,84,100,3.6,US,1691311872
286,daru,-9.0763,143.2092,24.61,70,46,7.22,PG,1691312119
